Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status,TotalDelay
A3,929,2024-03-13 09:00:00,2024-03-13 09:15:00,D,ATH,ATHENS,GREECE,3,DEPARTED,15.0
IZ,298,2024-03-13 09:15:00,2024-03-13 09:31:00,A,IAS,IASI,ROMANIA,3,LANDED,16.0
LO,152,2024-03-13 09:15:00,2024-03-13 09:31:00,D,WAW,WARSAW,POLAND,3,DEPARTED,16.0
LY,554,2024-03-13 09:15:00,2024-03-13 09:31:00,A,RAK,MARRAKESH,MOROCCO,3,LANDED,16.0
6H,425,2024-03-13 09:15:00,2024-03-13 09:31:00,D,ETM,RAMON,ISRAEL,1,CANCELED,16.0
AA,8374,2024-03-13 09:30:00,2024-03-13 09:42:00,D,CDG,PARIS,FRANCE,3,DEPARTED,12.0
LY,319,2024-03-13 09:30:00,2024-03-13 09:42:00,D,CDG,PARIS,FRANCE,3,DEPARTED,12.0
IZ,551,2024-03-13 09:20:00,2024-03-13 09:50:00,D,RVN,ROVANIEMI,FINLAND,3,DEPARTED,30.0
DL,5936,2024-03-13 09:20:00,2024-03-13 09:50:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED,30.0
VS,454,2024-03-13 10:10:00,2024-03-13 09:53:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED,0.0
AA,8851,2024-03-13 10:00:00,2024-03-13 10:00:00,D,MAD,MADRID,SPAIN,3,DEPARTED,0.0
IB,3317,2024-03-13 09:40:00,2024-03-13 10:04:00,D,MAD,MADRID,SPAIN,3,DEPARTED,24.0
LY,8397,2024-03-13 10:00:00,2024-03-13 10:11:00,D,MAD,MADRID,SPAIN,3,DEPARTED,11.0
VY,5270,2024-03-13 10:15:00,2024-03-13 10:24:00,D,MAD,MADRID,SPAIN,3,DEPARTED,9.0
AA,8388,2024-03-13 10:00:00,2024-03-13 10:24:00,D,FCO,ROME,ITALY,3,DEPARTED,24.0
AR,7877,2024-03-13 10:25:00,2024-03-13 10:28:00,D,FCO,ROME,ITALY,3,DEPARTED,3.0
LY,385,2024-03-13 10:20:00,2024-03-13 10:34:00,D,FCO,ROME,ITALY,3,DEPARTED,14.0
TP,8898,2024-03-13 10:30:00,2024-03-13 10:44:00,D,FCO,ROME,ITALY,3,DEPARTED,14.0
IZ,603,2024-03-13 10:20:00,2024-03-13 10:48:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED,28.0
TK,7711,2024-03-13 10:20:00,2024-03-13 10:48:00,D,SAW,ISTANBUL,TURKEY,3,DEPARTED,28.0
OS,860,2024-03-13 10:20:00,2024-03-13 10:48:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED,28.0
AR,7850,2024-03-13 10:20:00,2024-03-13 10:48:00,A,MIA,MIAMI,UNITED STATES,3,LANDED,28.0
LY,018,2024-03-13 10:20:00,2024-03-13 10:48:00,A,MIA,MIAMI,UNITED STATES,3,LANDED,28.0
LAU,N800T,2024-03-13 10:55:00,2024-03-13 11:05:00,D,BAH,BAHRAIN,BAHRAIN,3,DEPARTED,10.0
FB,572,2024-03-13 11:15:00,2024-03-13 11:15:00,D,SOF,SOFIA,BULGARIA,3,DEPARTED,0.0
6H,041,2024-03-13 11:20:00,2024-03-13 11:20:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,0.0
IZ,801,2024-03-13 11:20:00,2024-03-13 11:20:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,0.0
SU,500,2024-03-13 10:45:00,2024-03-13 11:32:00,A,SVO,MOSCOW,RUSSIAN FEDERATION,3,CANCELED,47.0
U8,103,2024-03-13 10:45:00,2024-03-13 11:32:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED,47.0
AA,8385,2024-03-13 12:00:00,2024-03-13 11:49:00,D,MXP,MILAN,ITALY,3,DEPARTED,0.0
LY,381,2024-03-13 12:00:00,2024-03-13 11:49:00,D,MXP,MILAN,ITALY,3,DEPARTED,0.0
LH,683,2024-03-13 12:05:00,2024-03-13 11:55:00,D,MUC,MUNICH,GERMANY,3,DEPARTED,0.0
CX,675,2024-03-13 11:15:00,2024-03-13 11:56:00,A,HKG,HONG KONG,CHINA,3,LANDED,41.0
PC,780,2024-03-13 11:00:00,2024-03-13 12:04:00,D,SAW,ISTANBUL,TURKEY,3,DEPARTED,64.0
LY,541,2024-03-13 11:55:00,2024-03-13 12:13:00,D,ATH,ATHENS,GREECE,3,DEPARTED,18.0
TK,811,2024-03-13 11:55:00,2024-03-13 12:13:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED,18.0
LY,551,2024-03-13 11:45:00,2024-03-13 12:18:00,D,SOF,SOFIA,BULGARIA,3,DEPARTED,33.0
LX,257,2024-03-13 12:05:00,2024-03-13 12:25:00,D,ZRH,ZURICH,SWITZERLAND,3,DEPARTED,20.0
HU,777,2024-03-13 12:30:00,2024-03-13 12:30:00,A,PVG,SHANGHAI PUDONG,CHINA,3,LANDED,0.0
QS,8287,2024-03-13 12:30:00,2024-03-13 12:30:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED,0.0
6H,767,2024-03-13 12:30:00,2024-03-13 12:30:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED,0.0
AHS,N99LE,2024-03-13 12:05:00,2024-03-13 12:33:00,D,ALL,ALBENGA,ITALY,3,CANCELED,28.0
LY,611,2024-03-13 12:25:00,2024-03-13 12:35:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED,10.0
S7,4482,2024-03-13 13:30:00,2024-03-13 12:58:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED,0.0
6H,421,2024-03-13 12:50:00,2024-03-13 13:05:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,15.0
QAS,T7AIG,2024-03-13 12:50:00,2024-03-13 13:05:00,A,AZI,ABU DAHBI,UNITED ARAB EMIRATES,3,LANDED,15.0
6H,885,2024-03-13 13:35:00,2024-03-13 13:05:00,D,BUS,BATUMI,GEORGIA,3,DEPARTED,0.0
QAS,MMBLY,2024-03-13 12:50:00,2024-03-13 13:05:00,D,SMV,SAMEDAN,SWITZERLAND,3,DEPARTED,15.0
IZ,802,2024-03-13 12:50:00,2024-03-13 13:05:00,A,ETM,RAMON,ISRAEL,1,LANDED,15.0
UA,084,2024-03-13 13:35:00,2024-03-13 13:05:00,A,EWR,NEWARK,UNITED STATES,3,LANDED,0.0
TK,784,2024-03-13 13:00:00,2024-03-13 13:10:00,A,IST,ISTANBUL,TURKEY,3,LANDED,10.0
PC,795,2024-03-13 13:00:00,2024-03-13 13:10:00,A,SAW,ISTANBUL,TURKEY,3,LANDED,10.0
6H,225,2024-03-13 13:05:00,2024-03-13 13:13:00,D,RVN,ROVANIEMI,FINLAND,3,DEPARTED,8.0
LAU,OKEMA,2024-03-13 13:05:00,2024-03-13 13:13:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,CANCELED,8.0
NJE,CSLTG,2024-03-13 13:35:00,2024-03-13 13:22:00,A,LCA,LARNACA,CYPRUS,3,CANCELED,0.0
QY,994,2024-03-13 13:25:00,2024-03-13 13:33:00,A,BRU,BRUSSELS,BELGIUM,3,LANDED,8.0
AHS,N99LE,2024-03-13 13:10:00,2024-03-13 13:34:00,D,ALL,ALBENGA,ITALY,3,DEPARTED,24.0
SU,501,2024-03-13 13:10:00,2024-03-13 13:34:00,D,SVO,MOSCOW,RUSSIAN FEDERATION,3,CANCELED,24.0
6H,426,2024-03-13 13:50:00,2024-03-13 13:37:00,A,ETM,RAMON,ISRAEL,1,CANCELED,0.0
6H,042,2024-03-13 13:50:00,2024-03-13 13:37:00,A,ETM,RAMON,ISRAEL,1,LANDED,0.0
6H,663,2024-03-13 13:50:00,2024-03-13 13:37:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,CANCELED,0.0
LY,323,2024-03-13 13:10:00,2024-03-13 13:39:00,D,CDG,PARIS,FRANCE,3,DEPARTED,29.0
AA,8371,2024-03-13 13:40:00,2024-03-13 13:40:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED,0.0
AM,7863,2024-03-13 13:30:00,2024-03-13 13:47:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED,17.0
LY,315,2024-03-13 13:20:00,2024-03-13 13:48:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED,28.0
6H,661,2024-03-13 13:20:00,2024-03-13 13:48:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED,28.0
LAU,9HDOM,2024-03-13 13:40:00,2024-03-13 13:53:00,D,GVA,GENEVA,SWITZERLAND,3,CANCELED,13.0
QY,960,2024-03-13 13:40:00,2024-03-13 13:53:00,A,LEJ,LEIPZIG,GERMANY,3,LANDED,13.0
LY,2365,2024-03-13 13:45:00,2024-03-13 14:03:00,D,BUD,BUDAPEST,HUNGARY,3,DEPARTED,18.0
FZ,1549,2024-03-13 14:20:00,2024-03-13 14:05:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,CANCELED,0.0
311,4XCLL,2024-03-13 14:20:00,2024-03-13 14:09:00,D,PFO,PAPHOS,CYPRUS,3,DEPARTED,0.0
3U,3779,2024-03-13 14:20:00,2024-03-13 14:09:00,A,CTU,CHENGDU,CHINA,3,LANDED,0.0
AA,8389,2024-03-13 14:20:00,2024-03-13 14:09:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED,0.0
AM,7891,2024-03-13 13:30:00,2024-03-13 14:14:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED,44.0
IB,2392,2024-03-13 13:40:00,2024-03-13 14:15:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED,35.0
LY,393,2024-03-13 14:30:00,2024-03-13 14:18:00,D,BCN,BARCELONA,SPAIN,3,DEPARTED,0.0
LAU,N944G,2024-03-13 14:30:00,2024-03-13 14:18:00,A,TEB,TETERBORO,UNITED STATES,3,LANDED,0.0
LY,2521,2024-03-13 14:00:00,2024-03-13 14:26:00,D,PRG,PRAGUE,CZECH REPUBLIC,3,DEPARTED,26.0
IZ,807,2024-03-13 14:05:00,2024-03-13 14:31:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,26.0
NJE,CSLTJ,2024-03-13 14:55:00,2024-03-13 14:43:00,A,ATH,ATHENS,GREECE,3,LANDED,0.0
TK,7708,2024-03-13 14:45:00,2024-03-13 14:45:00,A,SAW,ISTANBUL,TURKEY,3,LANDED,0.0
LY,615,2024-03-13 14:55:00,2024-03-13 14:45:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED,0.0
FR,4083,2024-03-13 14:35:00,2024-03-13 14:46:00,A,KRK,KRAKOW,POLAND,3,LANDED,11.0
FR,7090,2024-03-13 14:35:00,2024-03-13 14:46:00,A,FCO,ROME,ITALY,3,LANDED,11.0
FR,7161,2024-03-13 15:00:00,2024-03-13 14:49:00,A,VIE,VIENNA,AUSTRIA,3,LANDED,0.0
FZ,1550,2024-03-13 13:45:00,2024-03-13 14:52:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,CANCELED,67.0
NJE,CSLTG,2024-03-13 14:30:00,2024-03-13 14:54:00,D,SMV,SAMEDAN,SWITZERLAND,3,CANCELED,24.0
LY,1076,2024-03-13 14:20:00,2024-03-13 14:57:00,A,HKG,HONG KONG,CHINA,3,LANDED,37.0
6H,422,2024-03-13 14:20:00,2024-03-13 14:57:00,A,ETM,RAMON,ISRAEL,1,LANDED,37.0
QAS,9HVCK,2024-03-13 15:10:00,2024-03-13 15:02:00,D,GVA,GENEVA,SWITZERLAND,3,DEPARTED,0.0
AM,7868,2024-03-13 14:45:00,2024-03-13 15:02:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED,17.0
AR,7852,2024-03-13 14:30:00,2024-03-13 15:04:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED,34.0
LY,002,2024-03-13 15:30:00,2024-03-13 15:07:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED,0.0
JU,8253,2024-03-13 15:05:00,2024-03-13 15:19:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED,14.0
TK,785,2024-03-13 15:05:00,2024-03-13 15:19:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED,14.0
PC,796,2024-03-13 15:35:00,2024-03-13 15:24:00,D,SAW,ISTANBUL,TURKEY,3,DEPARTED,0.0
311,N405L,2024-03-13 15:35:00,2024-03-13 15:24:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED,0.0
LY,553,2024-03-13 14:20:00,2024-03-13 15:29:00,D,RAK,MARRAKESH,MOROCCO,3,DEPARTED,69.0
6H,441,2024-03-13 14:20:00,2024-03-13 15:29:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,69.0
FR,6754,2024-03-13 15:50:00,2024-03-13 15:40:00,A,BUD,BUDAPEST,HUNGARY,3,LANDED,0.0
AHS,OELML,2024-03-13 16:05:00,2024-03-13 15:42:00,D,LBG,PARIS,FRANCE,3,CANCELED,0.0
FR,2005,2024-03-13 16:00:00,2024-03-13 15:51:00,A,BGY,BERGAMO,ITALY,3,LANDED,0.0
3V,4848,2024-03-13 15:00:00,2024-03-13 15:52:00,A,VIE,VIENNA,AUSTRIA,3,LANDED,52.0
FR,2836,2024-03-13 15:50:00,2024-03-13 15:57:00,A,VNO,VILNIUS,LITHUANIA,3,LANDED,7.0
XC,455,2024-03-13 15:35:00,2024-03-13 15:58:00,A,AYT,ANTALYA,TURKEY,3,LANDED,23.0
AHS,LZBRU,2024-03-13 14:45:00,2024-03-13 15:59:00,A,LCA,LARNACA,CYPRUS,3,LANDED,74.0
TWI,503,2024-03-13 15:45:00,2024-03-13 16:03:00,A,AYT,ANTALYA,TURKEY,3,LANDED,18.0
311,4XCLL,2024-03-13 16:10:00,2024-03-13 16:09:00,A,PFO,PAPHOS,CYPRUS,3,LANDED,0.0
FR,4084,2024-03-13 16:10:00,2024-03-13 16:09:00,D,KRK,KRAKOW,POLAND,3,DEPARTED,0.0
EJU,2563,2024-03-13 16:10:00,2024-03-13 16:09:00,A,MXP,MILAN,ITALY,3,LANDED,0.0
LAU,OKEMA,2024-03-13 16:10:00,2024-03-13 16:09:00,D,LCA,LARNACA,CYPRUS,3,DEPARTED,0.0
FR,7162,2024-03-13 16:10:00,2024-03-13 16:09:00,D,VIE,VIENNA,AUSTRIA,3,DEPARTED,0.0
EZS,1525,2024-03-13 16:00:00,2024-03-13 16:12:00,A,GVA,GENEVA,SWITZERLAND,3,LANDED,12.0
EJU,5201,2024-03-13 16:00:00,2024-03-13 16:12:00,A,BER,BERLIN,GERMANY,3,LANDED,12.0
NJE,CSLTJ,2024-03-13 15:55:00,2024-03-13 16:12:00,D,SMV,SAMEDAN,SWITZERLAND,3,DEPARTED,17.0
EK,2363,2024-03-13 16:05:00,2024-03-13 16:14:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED,9.0
FZ,1163,2024-03-13 15:50:00,2024-03-13 16:17:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED,27.0
UA,085,2024-03-13 15:50:00,2024-03-13 16:17:00,D,EWR,NEWARK,UNITED STATES,3,DEPARTED,27.0
LY,973,2024-03-13 15:50:00,2024-03-13 16:17:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED,27.0
HU,778,2024-03-13 15:50:00,2024-03-13 16:17:00,D,PVG,SHANGHAI PUDONG,CHINA,3,DEPARTED,27.0
6H,431,2024-03-13 15:50:00,2024-03-13 16:17:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,27.0
FR,7091,2024-03-13 16:10:00,2024-03-13 16:27:00,D,FCO,ROME,ITALY,3,DEPARTED,17.0
LAU,9HAMY,2024-03-13 16:10:00,2024-03-13 16:27:00,D,ISL,ISTANBUL,TURKEY,3,CANCELED,17.0
FR,6746,2024-03-13 16:10:00,2024-03-13 16:27:00,A,CRL,BRUSSELS,BELGIUM,3,LANDED,17.0
LY,542,2024-03-13 16:10:00,2024-03-13 16:30:00,A,ATH,ATHENS,GREECE,3,LANDED,20.0
LY,617,2024-03-13 16:10:00,2024-03-13 16:30:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED,20.0
QAS,YUPDD,2024-03-13 16:05:00,2024-03-13 16:35:00,A,LIN,MILAN,ITALY,3,LANDED,30.0
3U,3780,2024-03-13 16:20:00,2024-03-13 16:35:00,D,CTU,CHENGDU,CHINA,3,DEPARTED,15.0
TK,7709,2024-03-13 16:20:00,2024-03-13 16:35:00,D,SAW,ISTANBUL,TURKEY,3,DEPARTED,15.0
AHS,LZBRU,2024-03-13 16:40:00,2024-03-13 16:41:00,D,SCV,SUCEAVA,ROMANIA,3,CANCELED,1.0
IZ,808,2024-03-13 16:40:00,2024-03-13 16:41:00,A,ETM,RAMON,ISRAEL,1,LANDED,1.0
EJU,7933,2024-03-13 16:50:00,2024-03-13 16:44:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED,0.0
FR,2006,2024-03-13 16:50:00,2024-03-13 16:44:00,D,BGY,BERGAMO,ITALY,3,DEPARTED,0.0
EJU,3737,2024-03-13 16:30:00,2024-03-13 16:55:00,A,CDG,PARIS,FRANCE,3,LANDED,25.0
FR,6755,2024-03-13 14:55:00,2024-03-13 16:58:00,D,BUD,BUDAPEST,HUNGARY,3,DEPARTED,123.0
TO,3930,2024-03-13 17:00:00,2024-03-13 17:00:00,A,ORY,PARIS,FRANCE,3,LANDED,0.0
FR,4103,2024-03-13 17:00:00,2024-03-13 17:00:00,A,PFO,PAPHOS,CYPRUS,3,LANDED,0.0
FR,2837,2024-03-13 16:40:00,2024-03-13 17:02:00,D,VNO,VILNIUS,LITHUANIA,3,DEPARTED,22.0
LAU,LZBRU,2024-03-13 17:05:00,2024-03-13 17:05:00,D,SCV,SUCEAVA,ROMANIA,3,DEPARTED,0.0
XC,456,2024-03-13 16:50:00,2024-03-13 17:07:00,D,AYT,ANTALYA,TURKEY,3,DEPARTED,17.0
EJU,4463,2024-03-13 16:50:00,2024-03-13 17:07:00,A,LYS,LYON,FRANCE,3,LANDED,17.0
6H,442,2024-03-13 16:40:00,2024-03-13 17:09:00,A,ETM,RAMON,ISRAEL,1,LANDED,29.0
TWI,504,2024-03-13 16:40:00,2024-03-13 17:09:00,D,AYT,ANTALYA,TURKEY,3,DEPARTED,29.0
TK,794,2024-03-13 17:10:00,2024-03-13 17:10:00,A,IST,ISTANBUL,TURKEY,3,LANDED,0.0
EZS,1526,2024-03-13 17:10:00,2024-03-13 17:10:00,D,GVA,GENEVA,SWITZERLAND,3,DEPARTED,0.0
LY,026,2024-03-13 17:10:00,2024-03-13 17:10:00,A,EWR,NEWARK,UNITED STATES,3,LANDED,0.0
EJU,2564,2024-03-13 17:10:00,2024-03-13 17:10:00,D,MXP,MILAN,ITALY,3,DEPARTED,0.0
EJU,5202,2024-03-13 17:10:00,2024-03-13 17:10:00,D,BER,BERLIN,GERMANY,3,DEPARTED,0.0
QAS,FHGLG,2024-03-13 17:10:00,2024-03-13 17:12:00,D,BWE,BRAUNSCHWEIG,GERMANY,3,DEPARTED,2.0
AM,7874,2024-03-13 16:10:00,2024-03-13 17:13:00,A,LAX,LOS ANGELES,UNITED STATES,3,LANDED,63.0
LY,006,2024-03-13 17:15:00,2024-03-13 17:15:00,A,LAX,LOS ANGELES,UNITED STATES,3,LANDED,0.0
EK,2364,2024-03-13 17:15:00,2024-03-13 17:15:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED,0.0
FZ,1164,2024-03-13 17:15:00,2024-03-13 17:15:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,DEPARTED,0.0
QAS,YUPDD,2024-03-13 16:40:00,2024-03-13 17:15:00,D,BEG,BELGRADE,SERBIA,3,DEPARTED,35.0
6H,886,2024-03-13 15:55:00,2024-03-13 17:20:00,A,BUS,BATUMI,GEORGIA,3,LANDED,85.0
AM,7871,2024-03-13 17:25:00,2024-03-13 17:25:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED,0.0
AR,7855,2024-03-13 17:25:00,2024-03-13 17:25:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED,0.0
LY,007,2024-03-13 17:25:00,2024-03-13 17:25:00,D,JFK,NEW YORK,UNITED STATES,3,DEPARTED,0.0
UA,140,2024-03-13 17:50:00,2024-03-13 17:40:00,A,ORD,CHICAGO,UNITED STATES,3,LANDED,0.0
FR,6747,2024-03-13 17:50:00,2024-03-13 17:40:00,D,CRL,BRUSSELS,BELGIUM,3,DEPARTED,0.0
LY,552,2024-03-13 17:50:00,2024-03-13 17:40:00,A,SOF,SOFIA,BULGARIA,3,LANDED,0.0
IZ,815,2024-03-13 17:50:00,2024-03-13 17:40:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,0.0
6H,447,2024-03-13 17:50:00,2024-03-13 17:40:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,0.0
AF,962,2024-03-13 17:45:00,2024-03-13 17:45:00,A,CDG,PARIS,FRANCE,3,LANDED,0.0
DL,8457,2024-03-13 17:50:00,2024-03-13 17:50:00,A,CDG,PARIS,FRANCE,3,LANDED,0.0
KL,2059,2024-03-13 17:50:00,2024-03-13 17:50:00,A,CDG,PARIS,FRANCE,3,LANDED,0.0
LAU,N800T,2024-03-13 18:00:00,2024-03-13 18:00:00,A,DWC,DUBAI,UNITED ARAB EMIRATES,3,LANDED,0.0
AR,7876,2024-03-13 18:00:00,2024-03-13 18:00:00,A,FCO,ROME,ITALY,3,LANDED,0.0
LY,386,2024-03-13 18:00:00,2024-03-13 18:00:00,A,FCO,ROME,ITALY,3,LANDED,0.0
LY,613,2024-03-13 18:05:00,2024-03-13 18:05:00,D,DME,MOSCOW,RUSSIAN FEDERATION,3,DEPARTED,0.0
TO,3932,2024-03-13 18:20:00,2024-03-13 18:20:00,A,ORY,PARIS,FRANCE,3,LANDED,0.0
EJU,7934,2024-03-13 18:50:00,2024-03-13 18:50:00,D,AMS,AMSTERDAM,NETHERLANDS,3,DEPARTED,0.0
6H,432,2024-03-13 18:40:00,2024-03-13 18:53:00,A,ETM,RAMON,ISRAEL,1,LANDED,13.0
TO,3931,2024-03-13 18:55:00,2024-03-13 18:55:00,D,ORY,PARIS,FRANCE,3,DEPARTED,0.0
BA,165,2024-03-13 19:15:00,2024-03-13 19:15:00,A,LHR,LONDON,UNITED KINGDOM,3,LANDED,0.0
EJU,3738,2024-03-13 19:40:00,2024-03-13 19:40:00,D,CDG,PARIS,FRANCE,3,DEPARTED,0.0
FR,4104,2024-03-13 19:40:00,2024-03-13 19:40:00,D,PFO,PAPHOS,CYPRUS,3,DEPARTED,0.0
LAU,TCKAM,2024-03-13 19:50:00,2024-03-13 19:50:00,A,ISL,ISTANBUL,TURKEY,3,CANCELED,0.0
PC,787,2024-03-13 20:00:00,2024-03-13 19:54:00,A,AYT,ANTALYA,TURKEY,3,LANDED,0.0
EJU,4464,2024-03-13 20:00:00,2024-03-13 19:54:00,D,LYS,LYON,FRANCE,3,DEPARTED,0.0
LAU,TCMFY,2024-03-13 20:00:00,2024-03-13 19:54:00,D,MRV,MINERALNYE VODY,RUSSIAN FEDERATION,3,DEPARTED,0.0
MNB,240,2024-03-13 20:00:00,2024-03-13 19:54:00,A,IST,ISTANBUL,TURKEY,3,LANDED,0.0
IZ,025,2024-03-13 20:00:00,2024-03-13 20:00:00,D,RAK,MARRAKESH,MOROCCO,3,DEPARTED,0.0
PC,783,2024-03-13 20:05:00,2024-03-13 20:05:00,A,SAW,ISTANBUL,TURKEY,3,LANDED,0.0
IZ,604,2024-03-13 20:05:00,2024-03-13 20:05:00,A,DXB,DUBAI,UNITED ARAB EMIRATES,3,LANDED,0.0
JU,8266,2024-03-13 20:05:00,2024-03-13 20:05:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED,0.0
TK,795,2024-03-13 20:05:00,2024-03-13 20:05:00,D,IST,ISTANBUL,TURKEY,3,DEPARTED,0.0
QAS,VJT49,2024-03-13 20:05:00,2024-03-13 20:05:00,A,LCA,LARNACA,CYPRUS,3,LANDED,0.0
LAU,TCKAM,2024-03-13 20:55:00,2024-03-13 20:14:00,D,ISL,ISTANBUL,TURKEY,3,CANCELED,0.0
700,MMBLY,2024-03-13 20:55:00,2024-03-13 20:14:00,D,ATH,ATHENS,GREECE,3,CANCELED,0.0
LH,686,2024-03-13 20:20:00,2024-03-13 20:20:00,A,FRA,FRANKFURT,GERMANY,3,LANDED,0.0
QAS,MMBLY,2024-03-13 19:50:00,2024-03-13 20:27:00,A,SMV,SAMEDAN,SWITZERLAND,3,LANDED,37.0
LY,822,2024-03-13 21:05:00,2024-03-13 20:52:00,A,LGG,LIEGE,BELGIUM,3,LANDED,0.0
PC,788,2024-03-13 21:05:00,2024-03-13 20:52:00,D,AYT,ANTALYA,TURKEY,3,DEPARTED,0.0
6H,439,2024-03-13 21:00:00,2024-03-13 21:00:00,D,ETM,RAMON,ISRAEL,1,DEPARTED,0.0
AHS,TCKAM,2024-03-13 21:00:00,2024-03-13 21:00:00,A,ISL,ISTANBUL,TURKEY,3,LANDED,0.0
TO,3933,2024-03-13 21:05:00,2024-03-13 21:07:00,D,ORY,PARIS,FRANCE,3,DEPARTED,2.0
N4,1899,2024-03-13 21:40:00,2024-03-13 21:40:00,A,LED,S.PETERSBURG,RUSSIAN FEDERATION,3,CANCELED,0.0
